Employment,ConvertedCompYearly,Country,DevType
Employed full-time,112000,United States of America,Developer_ embedded applications or devices
Employed full-time,22776,Poland,Fullstack Developer
Employed full-time,30000,Ukraine,Fullstack Developer
Employed full-time,170000,United States of America,Fullstack Developer
Employed full-time,26484,Colombia,Engineer_ data
Employed full-time,37834,France,Front-End Developer
Employed full-time,60000,United States of America,Fullstack Developer
Employed full-time,25428,France,Fullstack Developer
Employed full-time,81074,Netherlands,Front-End Developer
Employed full-time,28248,Colombia,Front-End Developer
Employed full-time,12230,India,Mobile Developer
"Independent contractor, freelancer, or self-employed",8376,India,Fullstack Developer
Employed full-time,150000,United States of America,Data Scientist
Employed full-time,36300,India,Mobile Developer
Employed full-time,3372,Dominican Republic,Mobile Developer
Employed full-time,1551108,United Kingdom of Great Britain and Northern Ireland,Fullstack Developer
Employed full-time,77556,United Kingdom of Great Britain and Northern Ireland,Data Scientist
Employed full-time,40212,Germany,Data Scientist
"Independent contractor, freelancer, or self-employed",13740,Brazil,Fullstack Developer
Employed full-time,23352,Italy,Mobile Developer
Employed full-time,77556,United Kingdom of Great Britain and Northern Ireland,Mobile Developer
Employed full-time,56723,Canada,Front-End Developer
Employed full-time,843168,Germany,Fullstack Developer
Employed full-time,75631,Canada,Front-End Developer
Employed full-time,103000,United States of America,Fullstack Developer
Employed full-time,95000,United States of America,Developer_ desktop or enterprise applications
Employed full-time,64630,United Kingdom of Great Britain and Northern Ireland,Engineer_ data
Employed full-time,82464,Brazil,Front-End Developer
Employed full-time,108098,Germany,Data Scientist
Employed full-time,6432,Paraguay,Front-End Developer
Employed full-time,75631,Canada,Fullstack Developer
Employed full-time,84316,Germany,Fullstack Developer
Employed full-time,19452,Greece,Fullstack Developer
"Independent contractor, freelancer, or self-employed",142308,Switzerland,Fullstack Developer
Employed full-time,110256,Austria,Front-End Developer
"Independent contractor, freelancer, or self-employed",10810,Italy,Fullstack Developer
Employed full-time,60535,Netherlands,Fullstack Developer
Employed full-time,37000,India,Front-End Developer
Employed full-time,60000,Paraguay,Front-End Developer
Employed full-time,79956,Iceland,Mobile Developer
Employed full-time,160000,United States of America,Back-End Developer
Employed full-time,23782,Italy,Data Scientist
Employed full-time,840204,China,Back-End Developer
Employed full-time,86976,Canada,Fullstack Developer
Employed full-time,17100,"Iran, Islamic Republic of...",Mobile Developer
Employed full-time,500000,United Kingdom of Great Britain and Northern Ireland,Engineer_ data
Employed full-time,64859,Germany,Back-End Developer
Employed full-time,33504,India,Fullstack Developer
Employed full-time,26513,Taiwan,DevOps specialist
Employed full-time,67021,Germany,Front-End Developer
Employed full-time,12324,Morocco,Mobile Developer
Employed full-time,86000,United States of America,Fullstack Developer
Employed full-time,193052,United States of America,Developer_ desktop or enterprise applications
Employed full-time,42158,France,Back-End Developer
Employed full-time,60505,Canada,Developer_ desktop or enterprise applications
Employed full-time,18156,Portugal,Mobile Developer
Employed full-time,132000,United States of America,Back-End Developer
Employed full-time,73741,Canada,Back-End Developer
Employed full-time,62697,Germany,Fullstack Developer
Employed full-time,65976,Brazil,Front-End Developer
Employed full-time,27492,Brazil,Developer_ desktop or enterprise applications
Employed full-time,37834,Spain,Mobile Developer
Employed full-time,9180,Bangladesh,Front-End Developer
Employed full-time,148000,United States of America,Front-End Developer
Employed full-time,135000,United States of America,Fullstack Developer
Employed full-time,51704,United Kingdom of Great Britain and Northern Ireland,Mobile Developer
Employed full-time,43239,France,Data Scientist
"Independent contractor, freelancer, or self-employed",85650,Ukraine,Fullstack Developer
Employed full-time,4188,India,Back-End Developer
Employed full-time,24696,France,Front-End Developer
"Independent contractor, freelancer, or self-employed",18684,Greece,Back-End Developer
Employed full-time,18108,Viet Nam,Front-End Developer
Employed full-time,179000,United States of America,Back-End Developer
"Independent contractor, freelancer, or self-employed",210050,United Kingdom of Great Britain and Northern Ireland,Developer_ desktop or enterprise applications
Employed full-time,157596,Israel,Engineer_ data
Employed full-time,108098,Netherlands,Developer_ desktop or enterprise applications
Employed full-time,45564,Poland,Back-End Developer
Employed full-time,1680,Tunisia,Mobile Developer
Employed full-time,29604,Croatia,Front-End Developer
Employed full-time,21144,Dominican Republic,Fullstack Developer
Employed full-time,6852,Ukraine,Mobile Developer
Employed full-time,24300,Poland,Mobile Developer
Employed full-time,54049,Italy,Developer_ desktop or enterprise applications
Employed full-time,38778,Netherlands,Front-End Developer
Employed full-time,130000,United States of America,Back-End Developer
Employed full-time,70000,United States of America,Fullstack Developer
Employed full-time,70264,Austria,Mobile Developer
Employed full-time,13032,Portugal,Mobile Developer
Employed full-time,54049,Italy,Back-End Developer
"Independent contractor, freelancer, or self-employed",141900,United States of America,Developer_ desktop or enterprise applications
Employed part-time,64860,Germany,Fullstack Developer
Employed full-time,129718,Germany,Back-End Developer
Employed full-time,23735,India,Front-End Developer
Employed full-time,62268,Germany,Front-End Developer
Employed full-time,51704,United Kingdom of Great Britain and Northern Ireland,Front-End Developer
Employed full-time,135000,United States of America,Engineer_ data
Employed full-time,23735,India,Back-End Developer
Employed full-time,37992,Romania,Front-End Developer
Employed full-time,18848,India,Front-End Developer
Employed full-time,10486,Guatemala,Fullstack Developer
Employed full-time,11520,Nigeria,Mobile Developer
Employed full-time,81074,Ireland,Back-End Developer
Employed full-time,99450,France,Front-End Developer
Employed full-time,72000,United States of America,Front-End Developer
Employed full-time,305000,United States of America,Developer_ desktop or enterprise applications
"Independent contractor, freelancer, or self-employed",324300,Germany,Fullstack Developer
"Independent contractor, freelancer, or self-employed",72900,Poland,Engineer_ data
Employed full-time,63528,Uruguay,Fullstack Developer
Employed full-time,56723,Canada,Front-End Developer
Employed part-time,15564,Germany,Back-End Developer
Employed full-time,55776,Germany,Fullstack Developer
Employed full-time,97288,Spain,Mobile Developer
Employed part-time,42036,Germany,Academic researcher
Employed full-time,29302,Indonesia,Mobile Developer
"Independent contractor, freelancer, or self-employed",5136,Cameroon,Mobile Developer
Employed full-time,70000,United States of America,Fullstack Developer
Employed full-time,103408,United Kingdom of Great Britain and Northern Ireland,Back-End Developer
Employed full-time,140000,United States of America,Developer_ desktop or enterprise applications
Employed full-time,50673,Canada,Fullstack Developer
Employed full-time,60132,Australia,Fullstack Developer
Employed full-time,82155,Netherlands,Back-End Developer
Employed full-time,27612,Turkey,Mobile Developer
Employed full-time,96945,United Kingdom of Great Britain and Northern Ireland,Fullstack Developer
Employed full-time,121010,Canada,Engineering manager
Employed full-time,77556,United Kingdom of Great Britain and Northern Ireland,Fullstack Developer
Employed full-time,492912,Spain,Front-End Developer
Employed full-time,24200,Canada,Mobile Developer
Employed full-time,26436,Serbia,Fullstack Developer
Employed full-time,42000,Ukraine,Fullstack Developer
Employed full-time,27923,India,Front-End Developer
Employed full-time,45401,France,Data Scientist
Employed full-time,583728,Greece,Data Scientist
Employed full-time,402096,India,Fullstack Developer
Employed full-time,65291,Netherlands,Developer_ desktop or enterprise applications
Employed part-time,5268,Nigeria,Back-End Developer
Employed full-time,11544,Egypt,Mobile Developer
Employed full-time,72744,Czech Republic,Developer_ desktop or enterprise applications
Employed full-time,204700,United States of America,Back-End Developer
Employed full-time,45401,France,Developer_ embedded applications or devices
Employed full-time,42960,Sweden,Back-End Developer
Employed part-time,17568,Indonesia,Developer_ desktop or enterprise applications
Employed full-time,8016,Pakistan,Front-End Developer
Employed full-time,37834,Belgium,Fullstack Developer
Employed full-time,466980,France,Developer_ desktop or enterprise applications
Employed full-time,61500,United States of America,Fullstack Developer
Employed full-time,1716,"Iran, Islamic Republic of...",Front-End Developer
Employed full-time,64630,United Kingdom of Great Britain and Northern Ireland,Front-End Developer
Employed full-time,56723,Canada,Fullstack Developer
Employed full-time,25644,Turkey,Back-End Developer
Employed full-time,155111,United Kingdom of Great Britain and Northern Ireland,Back-End Developer
Employed full-time,86478,Spain,Engineer_ data
"Independent contractor, freelancer, or self-employed",6852,Ukraine,Front-End Developer
Employed full-time,75669,Germany,Data Scientist
Employed full-time,149000,United States of America,Engineer_ data
Employed full-time,150000,United States of America,Developer_ QA or test
Employed full-time,63252,Argentina,Fullstack Developer
"Independent contractor, freelancer, or self-employed",51552,Sweden,Developer_ embedded applications or devices
Employed full-time,75669,Spain,Back-End Developer
Employed full-time,84924,Russian Federation,Front-End Developer
Employed full-time,56211,France,Front-End Developer
"Independent contractor, freelancer, or self-employed",7200,"Venezuela, Bolivarian Republic of...",Fullstack Developer
Employed full-time,31128,Portugal,Fullstack Developer
Employed full-time,82308,Israel,Front-End Developer
Employed full-time,118685,Norway,Developer_ desktop or enterprise applications
"Independent contractor, freelancer, or self-employed",108100,Hungary,Mobile Developer
Employed full-time,8288,Bulgaria,Fullstack Developer
Employed full-time,39201,South Korea,Front-End Developer
Employed full-time,62828,India,Front-End Developer
Employed full-time,31128,Republic of Moldova,Fullstack Developer
Employed full-time,28536,Spain,Fullstack Developer
Employed full-time,125000,United States of America,Engineer_ data
Employed full-time,130000,United States of America,Back-End Developer
Employed full-time,164604,Israel,Engineer_ data
Employed full-time,1140,"Iran, Islamic Republic of...",Front-End Developer
Employed full-time,830196,Germany,Fullstack Developer
Employed full-time,165000,United States of America,Fullstack Developer
"Independent contractor, freelancer, or self-employed",64630,United Kingdom of Great Britain and Northern Ireland,Mobile Developer
Employed full-time,81433,United Kingdom of Great Britain and Northern Ireland,Back-End Developer
Employed full-time,43404,Russian Federation,Mobile Developer
Employed full-time,165000,Germany,Fullstack Developer
Employed full-time,17868,Brazil,Developer_ desktop or enterprise applications
Employed part-time,62697,Germany,Back-End Developer
Employed full-time,180000,United States of America,Fullstack Developer
Employed full-time,36450,Poland,Developer_ desktop or enterprise applications
"Independent contractor, freelancer, or self-employed",12000,Nepal,Front-End Developer
Employed part-time,58373,Germany,Mobile Developer
Employed full-time,31908,Germany,Fullstack Developer
Employed full-time,65000,United States of America,Developer_ desktop or enterprise applications
Employed full-time,54049,France,Fullstack Developer
Employed full-time,75669,Germany,Mobile Developer
Employed part-time,10020,Poland,Fullstack Developer
Employed full-time,23856,Taiwan,Fullstack Developer
Employed full-time,77831,Greece,Front-End Developer
Employed full-time,150000,United States of America,Engineer_ data
Employed full-time,125000,United States of America,Fullstack Developer
Employed full-time,36753,France,Front-End Developer
Employed full-time,75240,Lithuania,Fullstack Developer
Employed full-time,13092,Egypt,Back-End Developer
Employed full-time,170000,United States of America,Back-End Developer
Employed full-time,112068,Israel,Fullstack Developer
Employed full-time,38532,India,Developer_ desktop or enterprise applications
Employed full-time,1,United States of America,Mobile Developer
Employed full-time,39347,Argentina,Front-End Developer
Employed full-time,91883,Slovenia,Developer_ desktop or enterprise applications
Employed full-time,7500000,United States of America,Front-End Developer
Employed full-time,41880,India,Back-End Developer
Employed full-time,16754,India,Engineer_ data
Employed full-time,27072,Kazakhstan,Back-End Developer
Employed full-time,11544,Egypt,Data Scientist
Employed full-time,47076,Poland,Back-End Developer
Employed full-time,35280,Romania,Back-End Developer
Employed full-time,609672,Germany,Fullstack Developer
Employed part-time,101649,Switzerland,Developer_ embedded applications or devices
"Independent contractor, freelancer, or self-employed",95126,Portugal,Fullstack Developer
Employed full-time,64859,France,Back-End Developer
Employed full-time,81074,France,Senior Executive (C-Suite_ VP_ etc.)
Employed full-time,64438,Canada,Fullstack Developer
Employed full-time,48644,France,Fullstack Developer
Employed full-time,19728,Turkey,Mobile Developer
Employed full-time,90000,United States of America,Engineer_ data
Employed full-time,129718,Italy,Fullstack Developer
Employed full-time,56832,Argentina,Mobile Developer
Employed full-time,94045,Germany,DevOps specialist
"Independent contractor, freelancer, or self-employed",92964,Portugal,Back-End Developer
Employed full-time,45401,Italy,Fullstack Developer
Employed full-time,91350,United States of America,Fullstack Developer
Employed full-time,14676,Ukraine,Front-End Developer
Employed full-time,5950000,United States of America,Fullstack Developer
Employed full-time,930672,United Kingdom of Great Britain and Northern Ireland,Engineer_ data
Employed full-time,270000,United Kingdom of Great Britain and Northern Ireland,Data Scientist
Employed full-time,25656,"Iran, Islamic Republic of...",Data Scientist
Employed full-time,10052,India,Front-End Developer
Employed full-time,52116,United Kingdom of Great Britain and Northern Ireland,Academic researcher
Employed full-time,27923,India,Front-End Developer
Employed full-time,56211,Germany,Front-End Developer
"Independent contractor, freelancer, or self-employed",184092,Sweden,Back-End Developer
Employed full-time,39900,"Iran, Islamic Republic of...",Mobile Developer
"Independent contractor, freelancer, or self-employed",42000,United States of America,Front-End Developer
Employed full-time,76750,France,Engineer_ data
Employed full-time,39553,United Kingdom of Great Britain and Northern Ireland,Fullstack Developer
Employed full-time,130000,United States of America,Engineer_ data
Employed full-time,98321,Canada,Mobile Developer
Employed full-time,38778,United Kingdom of Great Britain and Northern Ireland,Front-End Developer
Employed full-time,8556,"Iran, Islamic Republic of...",Front-End Developer
Employed full-time,54049,France,Fullstack Developer
"Independent contractor, freelancer, or self-employed",46024,Sweden,Front-End Developer
Employed full-time,80000,United States of America,Front-End Developer
Employed full-time,89000,United States of America,Front-End Developer
Employed full-time,95000,United States of America,Fullstack Developer
Employed full-time,177000,United States of America,Back-End Developer
Employed full-time,54049,Belgium,Engineer_ data
Employed full-time,18156,Italy,Developer_ desktop or enterprise applications
Employed full-time,54049,France,Front-End Developer
Employed full-time,100728,Denmark,Developer_ desktop or enterprise applications
Employed full-time,60505,Canada,Fullstack Developer
Employed full-time,739392,France,Engineer_ data
Employed full-time,6981,India,Fullstack Developer
Employed full-time,100000,United States of America,Back-End Developer
Employed full-time,60505,Canada,Fullstack Developer
Employed full-time,55000,United States of America,Fullstack Developer
"Independent contractor, freelancer, or self-employed",86478,Italy,Mobile Developer
Employed full-time,68102,Estonia,Mobile Developer
"Independent contractor, freelancer, or self-employed",93540,Czech Republic,Back-End Developer
Employed full-time,52380,Bulgaria,Mobile Developer
Employed full-time,5868,India,Front-End Developer
Employed full-time,156000,United States of America,Front-End Developer
Employed full-time,4750,"Iran, Islamic Republic of...",Back-End Developer
Employed full-time,72636,Germany,Mobile Developer
Employed full-time,77556,United Kingdom of Great Britain and Northern Ireland,Front-End Developer
Employed full-time,59454,Netherlands,Fullstack Developer
Employed full-time,51429,Canada,Data Scientist
Employed full-time,90000,United States of America,Front-End Developer
Employed full-time,43239,France,Fullstack Developer
Employed full-time,9180,Bangladesh,Mobile Developer
Employed full-time,135000,United States of America,Developer_ desktop or enterprise applications
Employed full-time,5388,Ukraine,Front-End Developer
Employed full-time,52942,Canada,Front-End Developer
"Independent contractor, freelancer, or self-employed",36000,Turkey,Mobile Developer
Employed full-time,492924,France,Fullstack Developer
Employed full-time,116333,United Kingdom of Great Britain and Northern Ireland,Front-End Developer
Employed full-time,130000,United States of America,Fullstack Developer
Employed full-time,194620,United States of America,Fullstack Developer
Employed full-time,142185,United Kingdom of Great Britain and Northern Ireland,Fullstack Developer
Employed full-time,7788,Pakistan,Fullstack Developer
Employed full-time,51900,Russian Federation,Back-End Developer
Employed part-time,10020,Poland,Mobile Developer
Employed full-time,45401,France,Front-End Developer
Employed full-time,97504,Germany,Mobile Developer
Employed full-time,63778,Germany,Developer_ desktop or enterprise applications
Employed full-time,43200,Argentina,Front-End Developer
Employed full-time,64630,United Kingdom of Great Britain and Northern Ireland,Back-End Developer
"Independent contractor, freelancer, or self-employed",576000,Panama,Front-End Developer
Employed full-time,152473,Switzerland,Developer_ desktop or enterprise applications
Employed full-time,49725,Germany,Back-End Developer
Employed full-time,6283,India,Fullstack Developer
Employed full-time,60141,United Kingdom of Great Britain and Northern Ireland,Front-End Developer
Employed full-time,54049,France,Mobile Developer
"Independent contractor, freelancer, or self-employed",16488,Brazil,Mobile Developer
Employed full-time,25824,Poland,Front-End Developer
Employed full-time,70264,Germany,Fullstack Developer
Employed full-time,7776,Bangladesh,Front-End Developer
Employed full-time,43239,Spain,Front-End Developer
Employed full-time,58236,Canada,Mobile Developer
Employed full-time,49308,Turkey,Back-End Developer
Employed full-time,101568,Israel,Front-End Developer
"Independent contractor, freelancer, or self-employed",162147,Netherlands,Developer_ desktop or enterprise applications
Employed full-time,69285,Czech Republic,Front-End Developer
Employed full-time,25944,Spain,Developer_ desktop or enterprise applications
Employed full-time,129000,United States of America,Fullstack Developer
Employed full-time,75000,United States of America,Back-End Developer
"Independent contractor, freelancer, or self-employed",7500,Ethiopia,Mobile Developer
Employed full-time,115000,United States of America,Developer_ desktop or enterprise applications
Employed full-time,28576,Bangladesh,Fullstack Developer
Employed full-time,57072,France,Mobile Developer
Employed full-time,38778,United Kingdom of Great Britain and Northern Ireland,Fullstack Developer
Employed full-time,161574,United Kingdom of Great Britain and Northern Ireland,Data Scientist
"Independent contractor, freelancer, or self-employed",3242950,France,Developer_ desktop or enterprise applications
Employed full-time,77940,Czech Republic,Front-End Developer
"Independent contractor, freelancer, or self-employed",54050,Hungary,Front-End Developer
Employed full-time,5988,"Iran, Islamic Republic of...",Fullstack Developer
Employed full-time,43948,United Kingdom of Great Britain and Northern Ireland,Fullstack Developer
Employed full-time,105000,United States of America,Front-End Developer
Employed full-time,130000,United States of America,Data Scientist
Employed full-time,39564,Germany,Fullstack Developer
Employed full-time,21516,Russian Federation,Developer_ desktop or enterprise applications
Employed full-time,66000,United States of America,Back-End Developer
Employed full-time,6696,India,Front-End Developer
Employed full-time,54000,United States of America,Front-End Developer
Employed full-time,74497,Canada,Front-End Developer
Employed full-time,60752,United Kingdom of Great Britain and Northern Ireland,Fullstack Developer
Employed full-time,27923,India,Developer_ desktop or enterprise applications
Employed full-time,61616,Spain,Back-End Developer
Employed full-time,86478,France,Back-End Developer
Employed full-time,3490,India,Back-End Developer
Employed full-time,76831,Australia,Back-End Developer
Employed full-time,13224,Pakistan,Front-End Developer
Employed full-time,43239,Germany,Front-End Developer
Employed full-time,122580,Israel,Engineer_ data
Employed full-time,972888,Italy,Fullstack Developer
Employed full-time,58236,Canada,Developer_ desktop or enterprise applications
Employed full-time,12564,India,Fullstack Developer
Employed full-time,23304,Cuba,Fullstack Developer
Employed full-time,64287,Canada,Front-End Developer
Employed full-time,127967,United Kingdom of Great Britain and Northern Ireland,Mobile Developer
Employed full-time,69800,United Kingdom of Great Britain and Northern Ireland,Fullstack Developer
Employed full-time,120000,United States of America,Fullstack Developer
Employed full-time,69581,Canada,Back-End Developer
Employed full-time,135000,United States of America,Developer_ desktop or enterprise applications
Employed full-time,125382,United Kingdom of Great Britain and Northern Ireland,Developer_ desktop or enterprise applications
Employed full-time,67452,Germany,Front-End Developer
"Independent contractor, freelancer, or self-employed",41508,Germany,Front-End Developer
"Independent contractor, freelancer, or self-employed",162147,Ireland,Fullstack Developer
Employed full-time,165000,United States of America,Back-End Developer
Employed full-time,25944,Greece,Engineer_ data
Employed full-time,16754,India,Mobile Developer
Employed full-time,77556,United Kingdom of Great Britain and Northern Ireland,Back-End Developer
Employed full-time,130000,United States of America,Fullstack Developer
Employed full-time,8040,India,Fullstack Developer
Employed full-time,70000,United States of America,Front-End Developer
Employed full-time,65000,United States of America,Fullstack Developer
Employed full-time,27336,Croatia,Fullstack Developer
Employed full-time,5868,India,Developer_ desktop or enterprise applications
Employed full-time,28105,Spain,Data Scientist
Employed part-time,19452,France,Fullstack Developer
Employed full-time,121010,Canada,Engineering manager
Employed full-time,41232,Brazil,Engineer_ data
Employed full-time,64859,France,Fullstack Developer
Employed part-time,77832,Netherlands,Front-End Developer
Employed full-time,244000,United States of America,Back-End Developer
Employed full-time,48,Russian Federation,Developer_ desktop or enterprise applications
Employed full-time,49119,United Kingdom of Great Britain and Northern Ireland,Developer_ desktop or enterprise applications
Employed full-time,11169,India,Front-End Developer
Employed full-time,73000,United States of America,Fullstack Developer
Employed full-time,30144,Czech Republic,Mobile Developer
Employed full-time,58167,United Kingdom of Great Britain and Northern Ireland,Front-End Developer
Employed full-time,45379,Canada,Developer_ game or graphics
Employed full-time,108098,Germany,Front-End Developer
Employed full-time,86000,United States of America,Data Analyst
Employed full-time,93067,United Kingdom of Great Britain and Northern Ireland,Fullstack Developer
Employed full-time,165000,United States of America,Front-End Developer
Employed full-time,53000,United States of America,Back-End Developer
Employed full-time,24540,Russian Federation,Mobile Developer
Employed full-time,15053,Chile,Fullstack Developer
Employed full-time,1011792,Germany,Engineer_ data
Employed full-time,83770,India,Fullstack Developer
Employed full-time,27492,Brazil,Front-End Developer
Employed full-time,465336,United Kingdom of Great Britain and Northern Ireland,Back-End Developer
Employed full-time,10792,India,Back-End Developer
Employed full-time,60300,India,Fullstack Developer
"Independent contractor, freelancer, or self-employed",108100,Germany,Front-End Developer
Employed full-time,27492,Brazil,Mobile Developer
Employed full-time,100000,United States of America,Fullstack Developer
Employed full-time,8460,Egypt,Mobile Developer
Employed full-time,109781,Switzerland,Developer_ desktop or enterprise applications
Employed full-time,25944,Spain,Mobile Developer
Employed full-time,30792,Hungary,Back-End Developer
Employed full-time,165000,United States of America,Developer_ desktop or enterprise applications
"Independent contractor, freelancer, or self-employed",19452,France,Fullstack Developer
Employed full-time,140000,United States of America,Mobile Developer
Employed full-time,96566,Switzerland,Developer_ desktop or enterprise applications
Employed full-time,13973,Brazil,Developer_ desktop or enterprise applications
Employed full-time,38129,India,Developer_ desktop or enterprise applications
Employed full-time,64860,Latvia,Back-End Developer
"Independent contractor, freelancer, or self-employed",75000,United States of America,Front-End Developer
"Independent contractor, freelancer, or self-employed",6696,India,Fullstack Developer
Employed full-time,83194,Canada,Academic researcher
Employed part-time,2328,Syrian Arab Republic,Mobile Developer
Employed full-time,77544,Germany,Fullstack Developer
Employed full-time,110000,United States of America,Back-End Developer
Employed full-time,180000,United States of America,Fullstack Developer
Employed full-time,12566,India,Mobile Developer
Employed full-time,9888,Bangladesh,Front-End Developer
Employed full-time,33508,India,Mobile Developer
Employed full-time,56723,Canada,Fullstack Developer
Employed full-time,24000,United States of America,Fullstack Developer
Employed full-time,116301,United Kingdom of Great Britain and Northern Ireland,Mobile Developer
Employed full-time,129250,United Kingdom of Great Britain and Northern Ireland,Engineer_ data
"Independent contractor, freelancer, or self-employed",64859,Germany,Front-End Developer
Employed full-time,7788,Pakistan,Fullstack Developer
Employed full-time,56400,United States of America,Fullstack Developer
Employed full-time,62994,Brazil,Developer_ desktop or enterprise applications
Employed full-time,51887,Germany,Developer_ game or graphics
Employed full-time,50000,United States of America,Data Scientist
Employed full-time,145000,United States of America,Developer_ desktop or enterprise applications
Employed full-time,64859,Netherlands,Developer_ desktop or enterprise applications
Employed full-time,55224,Sweden,Back-End Developer
Employed full-time,26340,Indonesia,Front-End Developer
Employed full-time,141000,United States of America,Fullstack Developer
Employed full-time,12144,Pakistan,Front-End Developer
Employed full-time,23088,Hungary,Fullstack Developer
Employed full-time,40000,Lebanon,Front-End Developer
Employed full-time,7200,Cuba,Mobile Developer
"Independent contractor, freelancer, or self-employed",168636,France,Fullstack Developer
Employed full-time,102974,United States of America,Front-End Developer
Employed full-time,70044,Germany,Mobile Developer
Employed full-time,73511,Germany,Data Scientist
Employed full-time,29832,Netherlands,Mobile Developer
Employed full-time,48644,France,Fullstack Developer
Employed part-time,44021,Norway,Fullstack Developer
Employed full-time,37834,Netherlands,Fullstack Developer
Employed full-time,48644,France,Fullstack Developer
Employed full-time,16980,Russian Federation,Front-End Developer
Employed full-time,54049,Italy,Front-End Developer
Employed full-time,8656,India,Front-End Developer
Employed full-time,175000,United States of America,Front-End Developer
Employed full-time,171000,United States of America,Fullstack Developer
"Independent contractor, freelancer, or self-employed",840,India,Fullstack Developer
Employed full-time,64000,United States of America,Academic researcher
Employed full-time,12000,Syrian Arab Republic,Back-End Developer
Employed full-time,104700,United Kingdom of Great Britain and Northern Ireland,Fullstack Developer
Employed full-time,25944,Germany,Back-End Developer
Employed full-time,86478,Austria,Back-End Developer
Employed full-time,73362,Canada,Developer_ desktop or enterprise applications
Employed part-time,12756,Poland,Mobile Developer
Employed full-time,90482,United Kingdom of Great Britain and Northern Ireland,Fullstack Developer
Employed full-time,35550,Russian Federation,Front-End Developer
Employed full-time,23076,Egypt,Back-End Developer
Employed full-time,200000,United States of America,Data Analyst
Employed full-time,70264,Germany,Mobile Developer
Employed full-time,48456,"Iran, Islamic Republic of...",Mobile Developer
Employed full-time,122350,Ukraine,Back-End Developer
Employed full-time,200000,United States of America,DevOps specialist
Employed full-time,64859,Austria,Developer_ desktop or enterprise applications
Employed full-time,28622,India,Front-End Developer
"Independent contractor, freelancer, or self-employed",34956,Syrian Arab Republic,Front-End Developer
Employed full-time,48472,United Kingdom of Great Britain and Northern Ireland,Back-End Developer
Employed full-time,32424,Greece,Mobile Developer
Employed full-time,122000,United States of America,Mobile Developer
Employed full-time,25131,India,Developer_ desktop or enterprise applications
Employed full-time,89000,United States of America,Front-End Developer
Employed full-time,34591,Italy,Fullstack Developer
"Independent contractor, freelancer, or self-employed",68750,France,Fullstack Developer
Employed full-time,220000,United States of America,Back-End Developer
Employed full-time,21408,Italy,Academic researcher
Employed full-time,170000,United States of America,Developer_ desktop or enterprise applications
"Independent contractor, freelancer, or self-employed",113100,United Kingdom of Great Britain and Northern Ireland,Front-End Developer
Employed full-time,77556,United Kingdom of Great Britain and Northern Ireland,Back-End Developer
"Independent contractor, freelancer, or self-employed",17304,South Africa,Mobile Developer
Employed full-time,125000,United States of America,Data Scientist
Employed full-time,64630,United Kingdom of Great Britain and Northern Ireland,Developer_ desktop or enterprise applications
Employed full-time,54049,France,Developer_ embedded applications or devices
Employed full-time,93067,United Kingdom of Great Britain and Northern Ireland,Front-End Developer
Employed full-time,70264,Austria,Front-End Developer
Employed full-time,145000,United States of America,Front-End Developer
"Independent contractor, freelancer, or self-employed",40000,Russian Federation,Mobile Developer
Employed full-time,16752,India,Back-End Developer
Employed part-time,8724,Netherlands,Developer_ desktop or enterprise applications
"Independent contractor, freelancer, or self-employed",50824,Switzerland,Fullstack Developer
"Independent contractor, freelancer, or self-employed",140527,Germany,Developer_ desktop or enterprise applications
Employed full-time,17033,India,System administrator
Employed full-time,3348,India,Fullstack Developer
Employed full-time,51888,Germany,Fullstack Developer
"Independent contractor, freelancer, or self-employed",51888,Austria,Front-End Developer
Employed full-time,75631,Canada,Fullstack Developer
Employed full-time,240000,United States of America,Back-End Developer
Employed full-time,16284,Romania,Fullstack Developer
Employed full-time,77556,United Kingdom of Great Britain and Northern Ireland,Fullstack Developer
Employed full-time,28500,"Iran, Islamic Republic of...",Mobile Developer
Employed full-time,11724,India,Mobile Developer
Employed full-time,7958,India,Data Scientist
Employed full-time,83951,Canada,Fullstack Developer
Employed full-time,57708,Poland,Mobile Developer
Employed part-time,2424,Lao People's Democratic Republic,Mobile Developer
Employed full-time,11169,India,Data Scientist
Employed full-time,60000,United States of America,Fullstack Developer
Employed full-time,64859,Portugal,Data Scientist
Employed full-time,22620,United Kingdom of Great Britain and Northern Ireland,Front-End Developer
Employed full-time,196950,United States of America,Back-End Developer
Employed full-time,69000,United States of America,Mobile Developer
Employed full-time,19176,Yemen,Mobile Developer
Employed full-time,10368,Tunisia,Fullstack Developer
Employed full-time,63778,Austria,Fullstack Developer
Employed full-time,68507,United Kingdom of Great Britain and Northern Ireland,Engineer_ data
Employed full-time,17452,India,Fullstack Developer
Employed full-time,67561,Portugal,Front-End Developer
Employed full-time,54276,Romania,Front-End Developer
Employed full-time,124089,United Kingdom of Great Britain and Northern Ireland,Front-End Developer
Employed full-time,25131,India,Fullstack Developer
Employed full-time,6981,India,Mobile Developer
Employed full-time,168037,United Kingdom of Great Britain and Northern Ireland,Mobile Developer
Employed full-time,38448,Germany,Developer_ desktop or enterprise applications
Employed full-time,106000,United States of America,Mobile Developer
Employed full-time,32429,Germany,Developer_ desktop or enterprise applications
Employed part-time,4188,India,Back-End Developer
Employed full-time,79896,Denmark,Developer_ embedded applications or devices
Employed full-time,41363,United Kingdom of Great Britain and Northern Ireland,Back-End Developer
